O	O
I-ORG	ORG
I-LOC	LOC
I-MISC	MISC
I-PER	PER
B-MISC	MISC
ORGANIZATION	ORG
WORK_OF_ART	MISC
_	O
GPE	LOC
CITY	LOC
DATE	MISC
NATIONALITY	LOC
PERSON	PER
NUMBER	MISC
DURATION	MISC
STATE_OR_PROVINCE	LOC
TIME	MISC
LOCATION	LOC
ORDINAL	MISC
COUNTRY	LOC
TITLE	MISC
MISC	MISC
MONEY	MISC
PERCENT	MISC
CAUSE_OF_DEATH	MISC
CRIMINAL_CHARGE	MISC
SET	MISC
IDEOLOGY	ORG
RELIGION	ORG
EMAIL	MISC
NORP	MISC
CARDINAL	MISC
TIME	MISC
FAC	MISC
LANGUAGE	MISC
LAW	MISC
MONEY	MISC
EVENT	ORG
PERCENT	MISC
PRODUCT	MISC
QUANTITY	MISC
